80000,NA
80001,NA
80002,NA
80003,NA
80004,NA
80005,NA
80006,NA
80007,NA
80008,NA
80009,NA
80010,NA
80011,NA
80012,NA
80013,NA
80014,NA
80015,NA
80016,NA
80017,NA
80018,NA
80019,NA
80020,NA
80021,NA
80022,NA
80023,NA
80024,NA
80025,NA
80026,NA
80027,NA
80028,NA
80029,NA
80030,NA
80031,NA
80032,NA
80033,NA
80034,NA
80035,NA
80036,NA
80037,NA
80038,NA
80039,NA
80040,NA
80041,NA
80042,NA
80043,NA
80044,NA
80045,NA
80046,NA
80047,NA
80048,NA
80049,NA
80050,NA
80051,NA
80052,NA
80053,NA
80054,NA
80055,NA
80056,NA
80057,NA
80058,NA
80059,NA
80060,NA
80061,NA
80062,NA
80063,NA
80064,NA
80065,NA
80066,NA
80067,NA
80068,NA
80069,NA
80070,NA
80071,NA
80072,NA
80073,NA
80074,NA
80075,NA
80076,NA
80077,NA
80078,NA
80079,NA
80080,NA
80081,NA
80082,NA
80083,NA
80084,NA
80085,NA
80086,NA
80087,NA
80088,NA
80089,NA
80090,NA
80091,NA
80092,NA
80093,NA
80094,NA
80095,NA
80096,NA
80097,NA
80098,NA
80099,NA
80100,NA
80101,NA
80102,NA
80103,NA
80104,NA
80105,NA
80106,NA
80107,NA
80108,NA
80109,NA
80110,NA
80111,NA
80112,NA
80113,NA
80114,NA
80115,NA
80116,NA
80117,NA
80118,NA
80119,NA
80120,NA
80121,NA
80122,NA
80123,NA
80124,NA
80125,NA
80126,NA
80127,NA
80128,NA
80129,NA
80130,NA
80131,NA
80132,NA
80133,NA
80134,NA
80135,NA
80136,NA
80137,NA
80138,NA
80139,NA
80140,NA
80141,NA
80142,NA
80143,NA
80144,NA
80145,NA
80146,NA
80147,NA
80148,NA
80149,NA
80150,NA
80151,NA
80152,NA
80153,NA
80154,NA
80155,NA
80156,NA
80157,NA
80158,NA
80159,NA
80160,NA
80161,󶅸
80162,󶅹
80163,󶅺
80164,󶅻
80165,󶅼
80166,󶅽
80167,󶅾
80168,󶅿
80169,󶆀
80170,󶆁
80171,󶆂
80172,󶆃
80173,󶆄
80174,󶆅
80175,󶆆
80176,󶆇
80177,󶆈
80178,󶆉
80179,󶆊
80180,󶆋
80181,󶆌
80182,󶆍
80183,󶆎
80184,󶆏
80185,󶆐
80186,󶆑
80187,󶆒
80188,󶆓
80189,󶆔
80190,󶆕
80191,󶆖
80192,󶆗
80193,󶆘
80194,󶆙
80195,󶆚
80196,󶆛
80197,󶆜
80198,󶆝
80199,󶆞
80200,󶆟
80201,󶆠
80202,󶆡
80203,󶆢
80204,󶆣
80205,󶆤
80206,󶆥
80207,󶆦
80208,󶆧
80209,󶆨
80210,󶆩
80211,󶆪
80212,󶆫
80213,󶆬
80214,󶆭
80215,󶆮
80216,󶆯
80217,󶆰
80218,󶆱
80219,󶆲
80220,󶆳
80221,󶆴
80222,󶆵
80223,󶆶
80224,󶆷
80225,󶆸
80226,󶆹
80227,󶆺
80228,󶆻
80229,󶆼
80230,󶆽
80231,󶆾
80232,󶆿
80233,󶇀
80234,󶇁
80235,󶇂
80236,󶇃
